Date;LBUSTRUU INDEX
19/05/1989;364.91
22/05/1989;366.95
23/05/1989;366.77
24/05/1989;366.45
25/05/1989;365.95
26/05/1989;366.34
30/05/1989;367.09
31/05/1989;367.51
01/06/1989;367.7
02/06/1989;370.87
05/06/1989;372.15
06/06/1989;372.23
07/06/1989;373.51
08/06/1989;374.14
09/06/1989;376.31
12/06/1989;376.31
13/06/1989;374.51
14/06/1989;375.5
15/06/1989;373.44
16/06/1989;373.15
19/06/1989;373.04
20/06/1989;374.21
21/06/1989;373.55
22/06/1989;373.15
23/06/1989;375.57
26/06/1989;376.71
27/06/1989;377.78
28/06/1989;376.97
29/06/1989;378.15
30/06/1989;378.7
03/07/1989;379.03
05/07/1989;378.92
06/07/1989;379.91
07/07/1989;381
10/07/1989;382.03
11/07/1989;381.99
12/07/1989;382.25
13/07/1989;382.25
14/07/1989;381.8
17/07/1989;381.84
18/07/1989;380.44
19/07/1989;381.16
20/07/1989;382.41
21/07/1989;381.5
24/07/1989;381.99
25/07/1989;382.82
26/07/1989;383.13
27/07/1989;384.75
28/07/1989;385.78
31/07/1989;386.75
01/08/1989;388.15
02/08/1989;387.61
03/08/1989;386.6
04/08/1989;382.89
07/08/1989;382.85
08/08/1989;383.12
09/08/1989;382.81
10/08/1989;383.05
11/08/1989;381.42
14/08/1989;379.49
15/08/1989;380.14
16/08/1989;381.81
17/08/1989;381
18/08/1989;381.34
21/08/1989;380.72
22/08/1989;379.41
23/08/1989;380.38
24/08/1989;381.07
25/08/1989;380.92
28/08/1989;380.34
29/08/1989;380.49
30/08/1989;381.27
31/08/1989;381.02
01/09/1989;382.56
05/09/1989;382.56
06/09/1989;382.9
07/09/1989;383.21
08/09/1989;383.93
11/09/1989;384.77
12/09/1989;384.92
13/09/1989;384.28
14/09/1989;385.19
15/09/1989;385.95
18/09/1989;385.84
19/09/1989;385.95
20/09/1989;384.81
21/09/1989;383.93
22/09/1989;383.97
25/09/1989;382.22
26/09/1989;382.94
27/09/1989;382.98
28/09/1989;383.02
29/09/1989;382.97
02/10/1989;383.55
03/10/1989;384.55
04/10/1989;385.09
05/10/1989;386.31
06/10/1989;388.65
10/10/1989;389.15
11/10/1989;388.46
12/10/1989;389.26
13/10/1989;390.18
16/10/1989;390.64
17/10/1989;390.26
18/10/1989;390.03
19/10/1989;390.99
20/10/1989;390.53
23/10/1989;391.75
24/10/1989;393.17
25/10/1989;393.17
26/10/1989;392.79
27/10/1989;391.87
30/10/1989;392.56
31/10/1989;392.4
01/11/1989;393.03
02/11/1989;393.62
03/11/1989;392.4
06/11/1989;391.69
07/11/1989;393.73
08/11/1989;394.48
09/11/1989;393.93
10/11/1989;394.13
13/11/1989;394.36
14/11/1989;394.95
15/11/1989;395.7
16/11/1989;395.78
17/11/1989;394.6
20/11/1989;394.99
21/11/1989;395.34
22/11/1989;396.21
24/11/1989;396.48
27/11/1989;395.93
28/11/1989;395.82
29/11/1989;395.46
30/11/1989;396.14
01/12/1989;396.64
04/12/1989;396.92
05/12/1989;396.8
06/12/1989;396.41
07/12/1989;396.01
08/12/1989;396.88
11/12/1989;397
12/12/1989;397.08
13/12/1989;397.32
14/12/1989;398.03
15/12/1989;397.91
18/12/1989;399.26
19/12/1989;399.1
20/12/1989;399.34
21/12/1989;399.3
22/12/1989;398.55
26/12/1989;396.96
27/12/1989;397.04
28/12/1989;397.44
29/12/1989;397.2
02/01/1990;397.08
03/01/1990;396.36
04/01/1990;396.88
05/01/1990;396.72
08/01/1990;396.72
09/01/1990;396.8
10/01/1990;396.92
11/01/1990;396.96
12/01/1990;396.32
15/01/1990;396.6
16/01/1990;395.01
17/01/1990;395.13
18/01/1990;393.03
19/01/1990;393.98
22/01/1990;394.14
23/01/1990;394.54
24/01/1990;392.95
25/01/1990;392.31
26/01/1990;390.88
29/01/1990;391.28
30/01/1990;390.76
31/01/1990;392.48
01/02/1990;393.02
02/02/1990;392
05/02/1990;391.84
06/02/1990;391.29
07/02/1990;391.49
08/02/1990;392.2
09/02/1990;394.24
12/02/1990;393.65
13/02/1990;395.22
14/02/1990;395.26
15/02/1990;393.77
16/02/1990;394.16
20/02/1990;391.14
21/02/1990;391.29
22/02/1990;392.9
23/02/1990;392.98
26/02/1990;394.47
27/02/1990;395.34
28/02/1990;393.75
01/03/1990;392.47
02/03/1990;393.29
05/03/1990;391.64
06/03/1990;392.74
07/03/1990;393.06
08/03/1990;393.33
09/03/1990;392.03
12/03/1990;392.43
13/03/1990;391.01
14/03/1990;392.66
15/03/1990;392.55
16/03/1990;394
19/03/1990;394.32
20/03/1990;395.38
21/03/1990;395.03
22/03/1990;395.34
23/03/1990;395.74
26/03/1990;396.44
27/03/1990;396.13
28/03/1990;396.56
29/03/1990;395.07
30/03/1990;394.04
02/04/1990;394.48
03/04/1990;394.87
04/04/1990;396.6
05/04/1990;396.52
06/04/1990;396.72
09/04/1990;396.45
10/04/1990;396.45
11/04/1990;396.52
12/04/1990;396.05
16/04/1990;395.97
17/04/1990;394.32
18/04/1990;391.99
19/04/1990;391.91
20/04/1990;391.52
23/04/1990;391.09
24/04/1990;390.69
25/04/1990;390.61
26/04/1990;389.47
27/04/1990;389.71
30/04/1990;390.43
01/05/1990;390.1
02/05/1990;390.22
03/05/1990;391.12
04/05/1990;394.91
07/05/1990;394.44
08/05/1990;395.22
09/05/1990;393.97
10/05/1990;395.61
11/05/1990;398.7
14/05/1990;399.91
15/05/1990;399.24
16/05/1990;398.93
17/05/1990;398.81
18/05/1990;398.03
21/05/1990;398.42
22/05/1990;400.1
23/05/1990;400.84
24/05/1990;400.96
25/05/1990;399.91
29/05/1990;400.88
30/05/1990;401.7
31/05/1990;401.99
01/06/1990;405.03
04/06/1990;405.87
05/06/1990;404.83
06/06/1990;405.03
07/06/1990;405.47
08/06/1990;405.39
11/06/1990;405.43
12/06/1990;405.43
13/06/1990;407.08
14/06/1990;407.72
15/06/1990;406.23
18/06/1990;405.75
19/06/1990;405.43
20/06/1990;404.79
21/06/1990;405.43
22/06/1990;405.67
25/06/1990;404.75
26/06/1990;405.43
27/06/1990;406.32
28/06/1990;407.32
29/06/1990;408.44
02/07/1990;408.69
03/07/1990;409.26
05/07/1990;408.98
06/07/1990;407.38
09/07/1990;406.77
10/07/1990;406.52
11/07/1990;407.1
12/07/1990;408.77
13/07/1990;409.87
16/07/1990;410.41
17/07/1990;410.69
18/07/1990;409.59
19/07/1990;409.55
20/07/1990;410.45
23/07/1990;410.77
24/07/1990;409.92
25/07/1990;410.65
26/07/1990;411.02
27/07/1990;412.33
30/07/1990;414.37
31/07/1990;414.09
01/08/1990;415.45
02/08/1990;413.96
03/08/1990;413.63
06/08/1990;409.03
07/08/1990;407.99
08/08/1990;407.95
09/08/1990;409.65
10/08/1990;409.61
13/08/1990;409.9
14/08/1990;410.48
15/08/1990;410.77
16/08/1990;408.49
17/08/1990;407.83
20/08/1990;408.45
21/08/1990;408.03
22/08/1990;406.58
23/08/1990;405.43
24/08/1990;404.6
27/08/1990;407.41
28/08/1990;406.79
29/08/1990;408.78
30/08/1990;408.57
31/08/1990;408.56
04/09/1990;408.16
05/09/1990;409.31
06/09/1990;409.6
07/09/1990;410.41
10/09/1990;409.88
11/09/1990;410.17
12/09/1990;410.58
13/09/1990;410.86
14/09/1990;410.09
17/09/1990;409.76
18/09/1990;410
19/09/1990;410.21
20/09/1990;409.8
21/09/1990;408.7
24/09/1990;408
25/09/1990;408.45
26/09/1990;408.53
27/09/1990;410.41
28/09/1990;411.94
01/10/1990;413.86
02/10/1990;414.31
03/10/1990;414.48
04/10/1990;415.1
05/10/1990;415.67
09/10/1990;412.54
10/10/1990;411.47
11/10/1990;410.73
12/10/1990;412.38
15/10/1990;412.95
16/10/1990;413.24
17/10/1990;413.86
18/10/1990;414.64
19/10/1990;416.41
22/10/1990;416.66
23/10/1990;416.46
24/10/1990;416.66
25/10/1990;417.77
26/10/1990;417.53
29/10/1990;417.32
30/10/1990;416.7
31/10/1990;417.17
01/11/1990;418.87
02/11/1990;418.78
05/11/1990;420.2
06/11/1990;420.2
07/11/1990;418.95
08/11/1990;418.87
09/11/1990;420.83
13/11/1990;423.2
14/11/1990;423.58
15/11/1990;423
16/11/1990;424.21
19/11/1990;423.66
20/11/1990;424.5
21/11/1990;425.58
23/11/1990;425.42
26/11/1990;426
27/11/1990;425.79
28/11/1990;425.29
29/11/1990;425.17
30/11/1990;426.15
03/12/1990;427.4
04/12/1990;427.83
05/12/1990;428.68
06/12/1990;428.3
07/12/1990;431.71
10/12/1990;432.9
11/12/1990;433.71
12/12/1990;434.35
13/12/1990;432.77
14/12/1990;431.24
17/12/1990;432.01
18/12/1990;432.77
19/12/1990;432.82
20/12/1990;432.05
21/12/1990;430.94
24/12/1990;429.66
26/12/1990;430.9
27/12/1990;431.92
28/12/1990;431.37
31/12/1990;432.79
02/01/1991;435.41
03/01/1991;436.41
04/01/1991;434.81
07/01/1991;432.94
08/01/1991;432.3
09/01/1991;430.82
10/01/1991;432.73
11/01/1991;432.68
14/01/1991;432.08
15/01/1991;432.38
16/01/1991;432.25
17/01/1991;435.93
18/01/1991;436.54
21/01/1991;436.19
22/01/1991;436.28
23/01/1991;437.01
24/01/1991;437.88
25/01/1991;436.71
28/01/1991;437.32
29/01/1991;437.92
30/01/1991;437.75
31/01/1991;438.14
01/02/1991;441.25
04/02/1991;442.21
05/02/1991;442.96
06/02/1991;443
07/02/1991;442.61
08/02/1991;444.01
